raw_value,corrected_value
sao paulo sp,sao paulo
sp,not specified
garulhos,guarulhos
mogi das cruses,mogi das cruzes
sando andre,santo andre
santo andre/sao paulo,not specified
maua/sao paulo,not specified
sao bernardo do capo,sao bernardo do campo
santa barbara d oeste,santa barbara d'oeste
portoferreira,porto ferreira
scao jose do rio pardo,sao jose do rio pardo
robeirao preto,ribeirao preto
ribeirao preto / sao paulo,not specified
riberao preto,ribeirao preto
auriflama/sp,auriflama
04482255,not specified
"rio de janeiro, rio de janeiro, brasil",rio de janeiro
belo horizont,belo horizonte
minas gerais,not specified
cascavael,cascavel
vendas@creditparts.com.br,not specified
parana,not specified
floranopolis,florianopolis
santa catarina,not specified
balenario camboriu,balneario camboriu
lages - sc,lages
sao miguel d'oeste,sao miguel do oeste
